This tab has one table with population components for Statistical Areas Level 3 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AI349.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Population components, Statistical Areas Level 3, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,
,,,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Overseas departures,Net overseas migration,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,
1,New South Wales,1GSYD,Greater Sydney,115,Sydney - Baulkham Hills and Hawkesbury,11503,Hawkesbury,332,116,216,1876,2165,-289,92,43,49,268,110,158,1408,1639,-231,152,34,118,279,109,170,1347,1546,-199,134,37,97,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,115,Sydney - Baulkham Hills and Hawkesbury,11504,Rouse Hill - McGraths Hill,880,137,743,9625,4613,5012,579,308,271,842,169,673,8298,4318,3980,1178,258,920,889,170,719,8662,4169,4493,923,286,637,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,116,Sydney - Blacktown,11601,Blacktown,1991,883,1108,11533,14154,-2621,2905,1362,1543,1908,909,999,8542,11071,-2529,4818,1063,3755,1846,873,973,8786,11405,-2619,4143,1165,2978,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,116,Sydney - Blacktown,11602,Blacktown - North,2394,337,2057,19430,11027,8403,2049,989,1060,2301,393,1908,16201,10011,6190,4360,862,3498,2395,376,2019,15838,10753,5085,3383,944,2439,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,116,Sydney - Blacktown,11603,Mount Druitt,1734,769,965,8898,11267,-2369,1607,752,855,1726,739,987,7033,8701,-1668,2682,588,2094,1663,707,956,7383,8833,-1450,2306,643,1663,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,117,Sydney - City and Inner South,11701,Botany,888,305,583,5788,5619,169,1685,790,895,744,300,444,4135,5475,-1340,2765,777,1988,674,294,380,3995,5581,-1586,2398,848,1550,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,117,Sydney - City and Inner South,11702,Marrickville - Sydenham - Petersham,701,344,357,6058,7289,-1231,1417,763,654,555,329,226,4829,5264,-435,2320,697,1623,579,301,278,4535,5184,-649,2012,761,1251,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,117,Sydney - City and Inner South,11703,Sydney Inner City,2275,824,1451,22088,26130,-4042,17720,11588,6132,1932,837,1095,15428,21996,-6568,29770,10914,18856,1796,795,1001,13694,22226,-8532,25542,11938,13604,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,118,Sydney - Eastern Suburbs,11801,Eastern Suburbs - North,1639,728,911,9312,12476,-3164,5570,3793,1777,1344,729,615,6586,9148,-2562,8890,3564,5326,1297,709,588,6260,8955,-2695,8014,3901,4113,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,118,Sydney - Eastern Suburbs,11802,Eastern Suburbs - South,1760,974,786,11090,14289,-3199,7205,4261,2944,1512,940,572,8014,11037,-3023,12343,3814,8529,1406,894,512,7226,11036,-3810,10238,4170,6068,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,119,Sydney - Inner South West,11901,Bankstown,2693,1379,1314,12305,14836,-2531,2873,1344,1529,2439,1289,1150,9219,10897,-1678,4708,1056,3652,2473,1196,1277,9631,10928,-1297,4115,1154,2961,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,119,Sydney - Inner South West,11902,Canterbury,1892,911,981,9450,13134,-3684,3936,1837,2099,1752,812,940,6771,9203,-2432,6617,1436,5181,1743,806,937,6857,10244,-3387,5591,1575,4016,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,119,Sydney - Inner South West,11903,Hurstville,1364,907,457,8439,10977,-2538,3990,1882,2108,1205,926,279,6379,8078,-1699,6797,1478,5319,1208,873,335,6786,8566,-1780,5719,1619,4100,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,119,Sydney - Inner South West,11904,Kogarah - Rockdale,1972,1104,868,10106,13117,-3011,5118,2516,2602,1755,1068,687,7782,10253,-2471,8784,2099,6685,1692,1025,667,8311,10441,-2130,7384,2299,5085,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,120,Sydney - Inner West,12001,Canada Bay,1115,574,541,7063,8952,-1889,2581,1676,905,936,567,369,5623,6712,-1089,4231,1520,2711,914,523,391,5843,7066,-1223,3710,1661,2049,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,120,Sydney - Inner West,12002,Leichhardt,831,316,515,5492,6855,-1363,1438,966,472,623,290,333,4251,4839,-588,2314,919,1395,664,273,391,4382,5012,-630,2102,1007,1095,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,120,Sydney - Inner West,12003,Strathfield - Burwood - Ashfield,1726,1028,698,12728,16273,-3545,6835,3472,3363,1514,1025,489,9686,12798,-3112,11622,3514,8108,1444,872,572,10459,13316,-2857,9752,3843,5909,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,121,Sydney - North Sydney and Hornsby,12101,Chatswood - Lane Cove,1335,689,646,10010,12214,-2204,4940,3324,1616,1094,592,502,7674,9347,-1673,8105,3136,4969,1077,562,515,8159,9623,-1464,7200,3429,3771,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,121,Sydney - North Sydney and Hornsby,12102,Hornsby,931,526,405,6443,7509,-1066,2068,1195,873,822,531,291,4898,5800,-902,3427,1081,2346,742,531,211,5126,6059,-933,3024,1185,1839,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,121,Sydney - North Sydney and Hornsby,12103,Ku-ring-gai,822,830,-8,8641,10239,-1598,3630,2514,1116,679,817,-138,7281,7902,-621,5913,2326,3587,662,841,-179,7051,7976,-925,5308,2543,2765,,,,,,,
