This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041086,Reynella,10548,10737,189,1.8,30,102,57,7.7,1393.5,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041088,Willunga,3691,3747,56,1.5,13,33,10,85.2,44,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041089,Woodcroft,11693,11722,29,0.2,13,-32,48,13.5,866.5,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041177,Seaford - Seaford Meadows,14874,15149,275,1.8,89,59,127,11.5,1320.6,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041178,Seaford Rise - Moana,11153,11370,217,1.9,62,70,85,12.1,939.3,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011090,Beverley,9447,9652,205,2.2,97,-31,139,4.2,2294.8,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011091,Flinders Park,17392,17783,391,2.2,108,43,240,6.4,2779.8,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011092,Henley Beach,16262,16561,299,1.8,22,9,268,6,2780.4,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011093,Hindmarsh - Brompton,20138,20267,129,0.6,53,-318,394,7.9,2566.7,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011094,Royal Park - Hendon - Albert Park,6726,6799,73,1.1,21,-5,57,3.2,2094.6,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011095,Seaton - Grange,18013,18255,242,1.3,22,-8,228,8.3,2211.8,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011096,West Lakes,15772,15883,111,0.7,-63,6,168,8.6,1857.3,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40401,Charles Sturt,404011097,Woodville - Cheltenham,20214,20392,178,0.9,60,-251,369,8.8,2314.1,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021098,Dry Creek - South,0,0,0,0,0,0,0,6.1,0,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021099,Largs Bay - Semaphore,15375,15627,252,1.6,1,95,156,6.7,2324,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021100,North Haven,15269,15435,166,1.1,24,52,90,14.8,1039.9,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021101,Port Adelaide,12182,12560,378,3.1,62,174,142,13,968.2,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021102,The Parks,20667,21072,405,2,50,-154,509,18.3,1153.8,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40402,Port Adelaide - West,404021103,Torrens Island,5,5,0,0,0,0,0,8.8,0.6,,,,,,,,,,,,
4GADE,Greater Adelaide,404,Adelaide - West,40403,West Torrens,404031104,Adelaide Airport,3,3,0,0,0,0,0,7.3,0.4,,,,,,,,,,,,
