This tab has one table with population components for Statistical Areas Level 4 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AG98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Population components, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,404,Adelaide - West,2820,2329,491,16669,16855,-186,4268,1427,2841,2714,2236,478,12487,13277,-790,7201,1499,5702,2654,2086,568,12566,13599,-1033,6180,1626,4554,,,,,,,,,,,,
4,South Australia,4RSAU,Rest of SA,405,Barossa - Yorke - Mid North,1133,1248,-115,7212,6537,675,354,119,235,982,1287,-305,5870,4898,972,477,130,347,1033,1275,-242,5936,4950,986,406,136,270,,,,,,,,,,,,
4,South Australia,4RSAU,Rest of SA,406,South Australia - Outback,907,770,137,4436,4862,-426,405,136,269,938,769,169,3476,3836,-360,558,145,413,947,760,187,3502,3815,-313,464,154,310,,,,,,,,,,,,
4,South Australia,4RSAU,Rest of SA,407,South Australia - South East,1782,1974,-192,10951,10247,704,1314,438,876,1782,2039,-257,8308,7511,797,1731,465,1266,1701,2051,-350,8771,7690,1081,1483,498,985,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,2069,1407,662,11514,9535,1979,1400,774,626,1978,1494,484,8966,7212,1754,2353,708,1645,1990,1450,540,9214,7258,1956,2387,813,1574,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,1135,982,153,8796,6625,2171,809,448,361,1151,1038,113,8192,5493,2699,2011,409,1602,1102,1028,74,8609,5826,2783,1938,473,1465,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,1703,1224,479,15948,16074,-126,5958,3878,2080,1565,1272,293,11106,12129,-1023,14557,4568,9989,1462,1347,115,11103,12568,-1465,13346,5251,8095,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,504,Perth - North East,3775,1593,2182,20871,18582,2289,2942,1637,1305,3653,1680,1973,17906,14666,3240,7383,1487,5896,3761,1655,2106,18592,15929,2663,7189,1711,5478,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,505,Perth - North West,7632,3267,4365,28936,29281,-345,7854,4444,3410,6960,3376,3584,22675,22026,649,19645,4181,15464,6683,3478,3205,23014,22920,94,18379,4813,13566,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,506,Perth - South East,6883,3188,3695,30835,30071,764,9344,5270,4074,6520,3411,3109,24365,24020,345,23115,5026,18089,6632,3314,3318,24716,25708,-992,21265,5774,15491,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,507,Perth - South West,5703,2687,3016,29641,25588,4053,5301,3045,2256,5311,2899,2412,24785,20037,4748,13329,2902,10427,5310,2878,2432,25531,20536,4995,12659,3340,9319,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,509,Western Australia - Wheat Belt,1467,1215,252,9769,9241,528,901,499,402,1430,1254,176,7474,6752,722,1581,459,1122,1489,1214,275,8168,7225,943,1521,522,999,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,510,Western Australia - Outback (North),1529,313,1216,8606,9229,-623,930,517,413,1411,418,993,6267,7015,-748,1687,474,1213,1363,353,1010,6375,7150,-775,1583,545,1038,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,511,Western Australia - Outback (South),1538,805,733,8270,8621,-351,920,510,410,1441,845,596,6109,6865,-756,1624,466,1158,1381,883,498,6432,6892,-460,1513,537,976,,,,,,,,,,,,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,2808,2052,756,9146,10045,-899,3214,1299,1915,2654,2205,449,7336,9297,-1961,4564,1557,3007,2580,2118,462,7221,9221,-2000,3927,1443,2484,,,,,,,,,,,,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,1502,1413,89,6799,6964,-165,1328,437,891,1571,1450,121,5231,5965,-734,1679,566,1113,1519,1516,3,5342,6046,-704,1431,522,909,,,,,,,,,,,,
6,Tasmania,6RTAS,Rest of Tas.,603,South East,388,341,47,3130,2653,477,236,84,152,355,323,32,2684,2510,174,271,97,174,377,345,32,2715,2461,254,243,91,152,,,,,,,,,,,,
6,Tasmania,6RTAS,Rest of Tas.,604,West and North West,1136,1191,-55,5732,5524,208,600,204,396,1157,1239,-82,4309,4385,-76,721,251,470,1078,1210,-132,4482,4589,-107,640,235,405,,,,,,,,,,,,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,2166,675,1491,13913,15908,-1995,3764,2077,1687,2063,648,1415,10790,13199,-2409,4971,2009,2962,2040,662,1378,10499,13250,-2751,4142,1402,2740,,,,,,,,,,,,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,1431,620,811,6908,7473,-565,1410,762,648,1427,633,794,5616,6474,-858,1618,688,930,1381,589,792,5489,6513,-1024,1348,476,872,,,,,,,,,,,,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,5593,2361,3232,23159,25370,-2211,8965,5579,3386,5189,2545,2644,19720,21311,-1591,13307,4916,8391,5113,2313,2800,19753,21303,-1550,11701,5455,6246,,,,,,,,,,,,
9,Other Territories,9OTER,Other Territories,901,Other Territories,25,27,-2,0,0,0,90,18,72,42,20,22,0,0,0,81,56,25,27,35,-8,0,0,0,62,27,35,,,,,,,,,,,,
,,,,,Total Australia,308745,183348,125397,1704466,1704466,0,426728,223138,203590,291039,188179,102860,1311248,1311248,0,739372,203854,535518,289057,182663,106394,1351098,1351098,0,661772,226574,435198,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
