This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60202,Meander Valley - West Tamar,602021055,Grindelwald - Lanena,6384,6439,55,0.9,5,31,19,344.8,18.7,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60202,Meander Valley - West Tamar,602021056,Hadspen - Carrick,3758,3795,37,1,20,10,7,174.7,21.7,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60202,Meander Valley - West Tamar,602021057,Westbury,4615,4677,62,1.3,18,32,12,679.1,6.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031058,Dilston - Lilydale,4540,4579,39,0.9,16,12,11,1274.1,3.6,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031059,George Town,7418,7428,10,0.1,-21,5,26,747.2,9.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031060,Longford,4597,4643,46,1,-10,37,19,222.5,20.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031061,Northern Midlands,3820,3859,39,1,14,14,11,4763.6,0.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031062,Perth - Evandale,5739,5793,54,0.9,15,29,10,226.8,25.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031064,St Helens - Scamander,7072,7156,84,1.2,-28,86,26,3299.1,2.2,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031099,Flinders and Cape Barren Islands,933,941,8,0.9,-4,12,0,1996.6,0.5,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60203,North East,602031100,Scottsdale - Bridport,7007,7011,4,0.1,-33,19,18,3205.7,2.2,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60301,Central Highlands (Tas.),603011065,Central Highlands,2501,2490,-11,-0.4,-6,-11,6,7185.5,0.3,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60301,Central Highlands (Tas.),603011066,Derwent Valley,3454,3475,21,0.6,-5,18,8,1290,2.7,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60301,Central Highlands (Tas.),603011067,Southern Midlands,6921,6981,60,0.9,37,19,4,2600.3,2.7,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60301,Central Highlands (Tas.),603011068,Wilderness - East,7,7,0,0,0,0,0,7351.1,0,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60302,Huon - Bruny Island,603021069,Bruny Island - Kettering,3588,3607,19,0.5,-4,5,18,443.5,8.1,,,,,,,,,,,,
6RTAS,Rest of Tas.,603,South East,60302,Huon - Bruny Island,603021070,Cygnet,5064,5145,81,1.6,8,56,17,239.5,21.5,,,,,,,,,,,,
