This tab has one table with the estimated resident population for Statistical Areas Level 4 in Australia as at 30 June 2024. It ranges from cell A1 to AD98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
3,Queensland,3GBRI,Greater Brisbane,304,Brisbane - West,151835,155713,158944,161797,163916,166667,169512,172219,175141,176976,178105,180896,182713,184203,185392,187153,189258,190901,192628,193716,191924,193394,198645,202564
3,Queensland,3GBRI,Greater Brisbane,305,Brisbane Inner City,180685,186677,194820,201125,206942,213613,219565,224714,229544,232555,236750,242211,247944,253322,258737,264952,273707,282488,291095,298250,297656,305719,319850,329810
3,Queensland,3RQLD,Rest of Qld,306,Cairns,191842,194271,197786,201005,205080,209763,215261,221566,226923,230368,232781,236699,240213,242627,244399,246684,249681,252209,254139,256262,257065,260664,265364,269399
3,Queensland,3RQLD,Rest of Qld,307,Darling Downs - Maranoa,114819,115276,115410,115594,116193,117110,118515,120349,122173,123568,125260,126467,127986,128542,128413,128401,129106,129373,129587,129783,130036,130992,132474,133617
3,Queensland,3RQLD,Rest of Qld,308,Central Queensland,182951,185358,188281,192139,195016,198975,202792,206990,211557,213690,217123,221034,224898,227014,227141,225548,225776,226529,228045,229579,231029,234166,238205,241735
3,Queensland,3RQLD,Rest of Qld,309,Gold Coast,390177,405477,422113,435960,448933,462573,479818,494599,509133,519630,528766,542072,554567,564952,576016,589933,604011,617663,629955,642046,649491,663317,682509,698017
3,Queensland,3GBRI,Greater Brisbane,310,Ipswich,217188,221734,227481,233843,241561,248415,256773,265597,275756,283784,291052,300088,309332,317670,324897,333702,341056,349181,358440,366107,373629,384933,397273,408779
3,Queensland,3GBRI,Greater Brisbane,311,Logan - Beaudesert,244328,249720,254525,259902,264968,270430,275976,282435,289595,294701,300179,306907,313828,318894,323295,328707,335526,342382,350646,358678,365586,378294,393394,408453
3,Queensland,3RQLD,Rest of Qld,312,Mackay - Isaac - Whitsunday,134902,138140,141183,144493,149292,154194,157803,161613,165530,168467,171564,174236,176275,176064,174974,173299,174076,175526,177568,180641,183209,186203,189621,192302
3,Queensland,3GBRI,Greater Brisbane,313,Moreton Bay - North,166462,170399,175295,181442,187052,191855,198404,205499,212386,218296,222579,227779,232231,236121,239478,243261,248009,252707,258021,263713,268977,276554,284372,292532
3,Queensland,3GBRI,Greater Brisbane,314,Moreton Bay - South,120821,125446,131063,135819,140516,144433,150813,156830,163110,168248,172787,178797,183996,189352,195326,201950,206551,211332,215376,219021,221556,226447,232030,236402
3,Queensland,3RQLD,Rest of Qld,315,Queensland - Outback,83621,83003,82178,81545,81417,81082,82251,83698,84621,85575,86631,86441,86207,85254,84047,82571,82048,81841,81677,81640,81605,81679,82142,82427
3,Queensland,3RQLD,Rest of Qld,316,Sunshine Coast,242427,250665,260994,270326,277803,284736,291904,300400,308362,313823,318279,326506,334329,341640,348814,356763,366114,376117,385991,395051,403508,413240,424307,434602
3,Queensland,3RQLD,Rest of Qld,317,Toowoomba,122996,124833,126712,128888,131775,133932,135936,138302,141055,142902,144258,146634,148542,150143,151495,152862,155475,157996,160330,162360,164082,167199,170781,173649
3,Queensland,3RQLD,Rest of Qld,318,Townsville,186618,189410,191955,194686,198566,202542,206976,212343,217244,220868,224678,228179,230806,232778,233543,234310,235135,235458,235745,236652,237383,240261,243772,247234
