This tab has one table with population components for Local Government Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE557.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Population components, Local Government Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,LGA code,LGA name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,16550,Randwick,1760,974,786,11149,14348,-3199,7205,4261,2944,1512,940,572,7866,10889,-3023,12343,3814,8529,1406,894,512,7077,10887,-3810,10238,4170,6068,,,,,,,,,,,,
1,New South Wales,16610,Richmond Valley,266,256,10,2021,1976,45,96,46,50,266,246,20,1435,1547,-112,130,35,95,258,220,38,1672,1595,77,112,38,74,,,,,,,,,,,,
1,New South Wales,16700,Ryde,1513,738,775,11188,12655,-1467,5001,2954,2047,1372,770,602,8375,10189,-1814,8427,2678,5749,1263,700,563,8910,10602,-1692,7402,2931,4471,,,,,,,,,,,,
1,New South Wales,16900,Shellharbour,993,614,379,5871,4630,1241,412,194,218,1018,638,380,4582,3963,619,547,151,396,927,618,309,5044,3823,1221,476,165,311,,,,,,,,,,,,
1,New South Wales,16950,Shoalhaven,1179,1187,-8,7956,7206,750,590,278,312,1070,1267,-197,5759,5853,-94,792,217,575,1041,1252,-211,6284,5613,671,690,235,455,,,,,,,,,,,,
1,New South Wales,17000,Singleton,318,163,155,2527,2385,142,137,66,71,316,176,140,1917,1955,-38,183,50,133,294,174,120,1985,1897,88,158,55,103,,,,,,,,,,,,
1,New South Wales,17040,Snowy Monaro,206,179,27,1746,1742,4,236,111,125,200,166,34,1346,1302,44,317,87,230,210,148,62,1336,1419,-83,277,95,182,,,,,,,,,,,,
1,New South Wales,17080,Snowy Valleys,161,152,9,993,1012,-19,87,41,46,156,181,-25,774,833,-59,114,31,83,135,145,-10,749,784,-35,99,34,65,,,,,,,,,,,,
1,New South Wales,17100,Strathfield,536,200,336,3934,5025,-1091,2191,1149,1042,506,219,287,3067,4300,-1233,3696,1180,2516,433,173,260,3189,4603,-1414,3124,1295,1829,,,,,,,,,,,,
1,New South Wales,17150,Sutherland,2733,1742,991,11410,12675,-1265,2144,1019,1125,2544,1805,739,8944,9247,-303,3517,804,2713,2411,1669,742,9894,9274,620,3136,878,2258,,,,,,,,,,,,
1,New South Wales,17200,Sydney,2215,804,1411,22154,25947,-3793,17145,11191,5954,1897,821,1076,15070,21510,-6440,28753,10537,18216,1742,783,959,13566,21575,-8009,24731,11530,13201,,,,,,,,,,,,
